,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Speed,Wind Speed,Temp (F)
0,codrington,40.0,AU,1555988407,57.0,-28.95,153.24,79.0,9.17,77.94
1,vila franca do campo,20.0,PT,1555988542,71.0,37.72,-25.43,55.0,4.7,54.34
2,torbay,90.0,CA,1555988557,100.0,47.66,-52.73,45.0,10.29,43.36
3,yumen,100.0,CN,1555988562,31.0,40.29,97.04,64.9,16.64,64.9
4,atuona,6.0,PF,1555988563,75.0,-9.8,-139.03,84.19,17.87,84.19
5,thompson,20.0,CA,1555984800,48.0,55.74,-97.86,42.8,2.24,42.8
8,hermanus,39.0,ZA,1555988483,83.0,-34.42,19.24,64.99,8.99,64.54
9,ushuaia,75.0,AR,1555984800,75.0,-54.81,-68.31,42.8,29.97,42.8
10,sorel,1.0,CA,1555988525,66.0,46.04,-73.1,55.0,11.41,50.83
12,alyangula,40.0,AU,1555984800,59.0,-13.85,136.42,89.6,9.17,89.6
13,paamiut,100.0,GL,1555988565,93.0,61.99,-49.67,30.39,9.98,30.39
14,zhaozhou,100.0,CN,1555988566,25.0,45.71,125.27,60.31,17.52,60.31
15,cockburn town,3.0,TC,1555988566,77.0,21.46,-71.14,78.25,13.22,78.25
16,carnarvon,100.0,ZA,1555988566,77.0,-30.97,22.13,50.96,20.27,50.96
17,samarai,78.0,PG,1555988567,72.0,-10.62,150.67,84.51,5.17,84.51
18,vetapalem,35.0,IN,1555988567,48.0,15.78,80.32,91.35,4.32,91.35
19,tiznit,100.0,MA,1555988567,79.0,29.7,-9.73,62.7,9.86,62.7
20,puerto ayora,16.0,EC,1555988476,98.0,-0.74,-90.35,75.99,5.01,75.99
21,bluff,95.0,AU,1555988568,55.0,-23.58,149.07,80.5,14.85,80.5
22,sirsi,20.0,IN,1555988568,55.0,14.62,74.84,86.28,2.55,86.28
23,port alfred,100.0,ZA,1555988275,93.0,-33.59,26.89,63.0,5.01,63.0
24,saskylakh,75.0,RU,1555988569,89.0,71.97,114.09,20.88,17.11,20.88
25,pangai,75.0,TO,1555984800,65.0,-19.8,-174.35,80.6,19.46,80.6
26,new norfolk,20.0,AU,1555988535,45.0,-42.78,147.06,66.0,9.17,64.69
27,port hardy,90.0,CA,1555984800,93.0,50.7,-127.42,46.4,8.05,46.4
28,arraial do cabo,0.0,BR,1555988570,86.0,-22.97,-42.02,76.94,4.72,76.94
29,punta arenas,40.0,CL,1555987986,75.0,-53.16,-70.91,41.0,9.17,41.0
30,albany,90.0,US,1555988563,93.0,42.65,-73.75,63.0,6.13,56.95
31,rikitea,35.0,PF,1555988571,87.0,-23.12,-134.97,79.17,10.47,79.17
32,petare,75.0,VE,1555987537,78.0,10.48,-66.81,78.8,4.7,75.02
33,hobart,20.0,AU,1555988421,45.0,-42.88,147.33,66.0,9.17,64.69
34,cape town,20.0,ZA,1555988224,72.0,-33.93,18.42,64.99,19.46,63.45
35,hasaki,75.0,JP,1555988525,52.0,35.73,140.83,72.0,9.17,70.21
36,ucluelet,100.0,CA,1555988343,99.0,48.94,-125.55,52.0,4.56,52.0
37,pacific grove,1.0,US,1555988557,52.0,36.62,-121.92,72.0,4.7,60.28
38,qaanaaq,87.0,GL,1555988574,99.0,77.48,-69.36,-18.61,1.66,-18.61
39,palmer,0.0,AU,1555988527,42.0,-34.85,139.16,75.99,11.41,68.23
40,touros,20.0,BR,1555984800,100.0,-5.2,-35.46,77.0,4.7,77.0
41,bethel,90.0,US,1555987800,85.0,60.79,-161.76,23.0,10.29,22.55
42,tanglad,53.0,PH,1555988576,64.0,11.29,125.58,84.91,9.35,84.91
43,clyde river,75.0,CA,1555986300,83.0,70.47,-68.59,-13.01,5.82,-13.01
44,busselton,0.0,AU,1555988442,40.0,-33.64,115.35,75.0,8.48,69.62
45,yellowknife,75.0,CA,1555984800,46.0,62.45,-114.38,50.0,11.41,50.0
46,lompoc,75.0,US,1555988523,87.0,34.64,-120.46,66.99,5.82,58.8
48,surt,100.0,LY,1555988578,35.0,31.21,16.59,73.25,24.85,73.25
49,podyuga,99.0,RU,1555988578,96.0,61.09,40.86,34.1,2.64,34.1
50,tawang,19.0,BT,1555988578,38.0,27.59,91.87,61.19,4.41,61.19
51,tasiilaq,88.0,GL,1555984200,74.0,65.61,-37.64,28.4,33.33,28.4
52,ukiah,95.0,US,1555988490,58.0,39.15,-123.21,71.01,1.99,60.19
53,saint-philippe,1.0,CA,1555988511,58.0,45.36,-73.48,55.0,3.36,52.27
54,pisco,0.0,PE,1555988499,94.0,-13.71,-76.2,71.6,3.36,70.81
56,mudgal,62.0,IN,1555988346,38.0,16.02,76.43,90.06,13.15,90.06
57,tuktoyaktuk,75.0,CA,1555984800,85.0,69.44,-133.03,21.2,28.86,21.2
58,hobyo,94.0,SO,1555988581,75.0,5.35,48.53,82.61,10.6,82.61
59,porto novo,40.0,BR,1555988400,100.0,-23.68,-45.44,69.8,4.7,69.8
60,saint george,75.0,GR,1555984200,87.0,39.45,22.34,51.8,1.52,50.83
61,butaritari,100.0,KI,1555988582,82.0,3.07,172.79,83.29,20.67,83.29
62,iskateley,28.0,RU,1555988582,88.0,67.68,53.15,20.11,6.31,20.11
63,donskoye,0.0,RU,1555986600,74.0,45.45,41.98,33.8,4.47,33.8
64,jamestown,0.0,AU,1555988583,32.0,-33.21,138.6,69.07,7.31,69.07
65,kavaratti,40.0,IN,1555986600,70.0,10.57,72.64,86.0,5.82,86.0
66,mataura,0.0,NZ,1555987805,80.0,-46.19,168.86,61.0,4.45,61.0
67,amahai,40.0,ID,1555988584,70.0,-3.31,129.0,85.61,9.8,85.61
68,grindavik,75.0,IS,1555987773,93.0,63.84,-22.43,41.0,3.36,40.12
69,dolores,0.0,UY,1555988585,72.0,-33.53,-58.22,58.63,13.49,58.63
70,kaithal,0.0,IN,1555988585,24.0,29.8,76.4,91.5,1.83,91.5
71,upernavik,90.0,GL,1555988586,97.0,72.79,-56.15,-5.98,14.54,-5.98
72,gasa,7.0,BT,1555988586,52.0,27.91,89.73,32.21,3.56,32.21
73,vaini,14.0,IN,1555984800,57.0,15.34,74.49,77.0,3.36,77.0
74,udachnyy,90.0,RU,1555986600,79.0,66.42,112.4,23.0,11.18,23.0
